No,Year,Dead,Seriously Injured,Injured,Date,Time,Weather,Longitude,Latitude,National Road,Highway,Road Type,Road Shape,Road Width,Signal,Kinds of Traffic Accident,Detail_1,Detail_2,A_Type,A_Age,B_Type,B_Age,Elderly Person,Walker,Bicycle,Temperature,Amount of Precipitation[mm],Amount of Snow[cm],Snowfall[cm],Wind Velocity[mps],Wind Direction[mps],Sunshine Duration
21,2015,1,0,0,2015/1/10,12:44,Snow,138.3665694,37.25587222,0,1,Normal,Straight,0,0,V,Manufactured articles,Protection fence etc.,A passenger car,54,Property etc.,-1,0,0,0,2.4,0,0,175,2.9,NNW,0.6
22,2016,1,0,0,2016/9/10,14:15,Sunny,138.8712972,37.58935556,0,0,Near_Intersection,Straight,0,0,V,Outside the road,Falling,Large-sized special motor vehicles for Farming,67,None,-1,1,0,0,27.2,0,0,0,3.4,NW,0.6
23,2016,1,0,0,2016/6/5,17:45,Sunny,138.6559028,37.20789167,0,0,Normal,Curve,0,0,V,Manufactured articles,etc,Small-sized special motor vehicles for Farming,86,Property etc.,-1,1,0,0,18.6,0,0,0,1.3,NNW,0.7
24,2014,1,0,0,2014/9/18,16:30,Sunny,138.7287444,37.14404444,0,0,Near_Intersection,Straight,0,0,V,Outside the road,Falling,Small-sized special motor vehicles etc.,78,None,-1,1,0,0,19.7,0,0,0,1.5,WNW,0.8
25,2015,1,0,0,2015/7/10,8:40,Sunny,139.2968611,37.98515833,0,0,Near_Intersection,Straight,0,0,V,Outside the road,Falling,Small-sized special motor vehicles for Farming,66,None,-1,1,0,0,24.7,0,0,0,1.3,WNW,0.9
26,2015,1,0,0,2015/9/29,11:20,Sunny,138.962725,37.23967222,1,0,Near_Intersection,Straight,0,0,V,Manufactured articles,Protection fence etc.,Light truck,55,Property etc.,-1,0,0,0,20.5,0,0,0,1.6,W,0.9
27,2013,1,0,0,2013/10/7,11:40,Sunny,139.4762361,38.22630278,0,0,Other,Othre,0,0,V,Parking,Driver absent,A passenger car,63,Property etc.,-1,0,0,0,29.1,0,0,0,2.4,SE,1
28,2013,1,0,0,2013/5/17,14:40,Sunny,139.2507194,37.96634444,1,0,Normal,Straight,0,0,V,Parking,Driver absent,Light truck,45,Property etc.,-1,1,1,0,17.8,0,0,0,3.6,NW,1
29,2013,1,0,0,2013/5/5,14:00,Sunny,139.1317556,37.34760278,0,0,Normal,Curve,0,0,V,etc,-1,Small-sized special motor vehicles for Farming,84,None,-1,1,0,0,17.4,0,0,31,1.1,N,1
30,2013,1,0,0,2013/10/12,15:08,Cloudy,138.4431361,37.88641944,0,0,Normal,Curve,0,0,V,Manufactured articles,etc,Light truck,89,Property etc.,-1,1,0,0,18.7,0,0,0,13.5,NW,1
31,2014,1,0,0,2014/5/11,14:40,Sunny,138.9675056,37.67764722,1,0,Normal,Straight,0,1,V,Manufactured articles,Telegraph pole,Scooter 50cc or less,43,Property etc.,-1,0,0,0,23.1,0,0,0,3.6,NNW,1
32,2014,1,1,0,2014/4/1,16:20,Sunny,138.8767806,37.52575556,1,0,Normal,Straight,0,0,V,Manufactured articles,A traffic sign,Motorcycle 251-400cc,18,Property etc.,-1,0,0,0,14.6,0,0,0,2.7,NNE,1
33,2014,1,0,0,2014/5/11,17:00,Sunny,139.0078889,37.46837222,0,0,Near_Intersection,Straight,0,0,V,Manufactured articles,House and fence,Light passenger car,89,Property etc.,-1,1,0,0,22,0,0,0,2.5,NW,1
34,2014,1,0,0,2014/4/2,11:25,Sunny,138.276325,37.03344722,0,0,Near_Intersection,Straight,0,0,V,Outside the road,Falling,Small-sized special motor vehicles for Farming,87,None,-1,1,0,0,17.6,0,0,0,3.5,N,1
35,2014,1,0,0,2014/8/14,17:00,Sunny,138.3768083,37.04179167,0,0,Normal,Curve,0,0,V,Outside the road,Falling,Scooter 50cc or less,77,None,-1,1,0,0,28.9,0,0,0,1.5,E,1
36,2015,1,0,0,2015/10/23,10:10,Sunny,139.2458583,37.75014167,0,0,Normal,Straight,3m-5.5m,0,V,Outside the road,Falling,Small-sized special motor vehicles etc.,67,None,-1,1,0,0,16.6,0,0,0,2.4,ENE,1
37,2015,1,0,0,2015/5/5,13:30,Sunny,139.4167806,37.76367222,0,0,Near_Intersection,Straight,0,0,V,Outside the road,Falling,Scooter 50cc or less,77,None,-1,1,0,0,19.1,0,0,0,3.3,NNW,1
38,2015,1,0,0,2015/10/6,7:20,Sunny,139.1571778,37.57670278,0,0,Other,Othre,0,0,V,Outside the road,Falling,A passenger car,75,None,-1,1,0,0,11.1,0,0,0,2.7,SE,1
39,2015,1,0,2,2015/7/12,16:15,Sunny,138.0251139,37.09074167,0,0,Normal,Curve,0,0,V,Outside the road,Falling,A passenger car,66,None,-1,1,0,0,30.7,0,0,0,2.1,NNW,1
40,2016,1,0,0,2016/8/21,7:55,Sunny,139.4281972,37.97169722,0,0,Normal,Curve,0,0,V,Manufactured articles,etc,Light Scooter 126-251cc,58,Property etc.,-1,0,0,0,27.2,0,0,0,0.6,NW,1
41,2016,1,0,2,2016/4/29,15:00,Cloudy,138.8750639,37.774775,0,0,Near_Intersection,Straight,5.5m-13m,0,V,Outside the road,Falling,Light passenger car,42,None,-1,0,0,0,12.4,0,0,0,7.8,NW,1
42,2016,1,0,0,2016/5/18,7:00,Sunny,138.7070694,37.09855556,0,0,Normal,Curve,0,0,V,Outside the road,Falling,Light truck,80,None,-1,1,0,0,10.9,0,0,0,2,S,1
43,2016,1,0,0,2016/6/29,10:40,Sunny,138.3958194,37.18101111,0,0,Normal,Straight,0,0,V,Manufactured articles,Protection fence etc.,Light truck,87,Property etc.,-1,1,0,0,24.8,0,0,0,2,NW,1
44,2016,1,1,0,2016/8/12,12:50,Sunny,139.3200972,37.99127778,0,1,Normal,Straight,0,0,V,Manufactured articles,etc,A passenger car,65,Property etc.,-1,1,0,0,30.2,0,0,0,3,WNW,1
