No,Year,Dead,Seriously Injured,Injured,Date,Time,Weather,Longitude,Latitude,National Road,Highway,Road Type,Road Shape,Road Width,Signal,Kinds of Traffic Accident,Detail_1,Detail_2,A_Type,A_Age,B_Type,B_Age,Elderly Person,Walker,Bicycle,Temperature,Amount of Precipitation[mm],Amount of Snow[cm],Snowfall[cm],Wind Velocity[mps],Wind Direction[mps],Sunshine Duration
357,2016,1,2,2,2016/5/4,12:35,Sunny,138.5429583,37.15775278,1,0,Normal,Straight,0,0,V2V,Frontal collision,-1,Motorcycle over 751cc,54,A passenger car,21,0,0,0,19.6,0,0,0,1.5,NNE,0.4
86,2013,1,0,0,2013/6/27,17:30,Sunny,138.4200944,38.02851944,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Scooter 50cc or less,51,A passenger car,24,0,0,0,23.1,0,0,0,6.7,NNW,0.5
257,2015,1,0,0,2015/7/9,15:45,Sunny,138.9213806,37.52374444,0,0,Near_Intersection,Straight,0,0,V2V,Encounter,-1,A passenger car,30,Vehicle,86,1,0,1,25.9,0,0,0,2.2,N,0.5
74,2013,1,0,0,2013/6/6,10:00,Sunny,138.5884139,37.38575833,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Scooter 50cc or less,77,Medium truck,55,1,0,0,22.7,0,0,0,2.4,NNW,0.6
164,2014,1,0,2,2014/11/30,14:30,Sunny,138.8572306,37.48005833,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Light passenger car,50,A passenger car,38,1,0,0,16.1,0,0,0,2.1,ENE,0.6
330,2016,1,0,0,2016/7/10,9:50,Sunny,138.8254361,37.51376944,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Scooter 51-125cc,84,Light passenger car,21,1,0,0,26.6,0,0,0,2.2,SW,0.6
132,2014,1,0,0,2014/2/26,16:31,Sunny,139.1417806,37.938125,1,0,Normal,Straight,5.5m-13m,0,V2V,At the time of passing each other,-1,Scooter 50cc or less,80,Medium truck,52,1,0,0,7.7,0,0,0,2.3,NNE,0.7
251,2015,1,0,1,2015/12/22,13:45,Sunny,139.0519028,37.65976111,0,0,Intersection,Straight,0,1,V2V,Encounter,-1,Light truck,26,Light passenger car,64,0,0,0,10.2,0,0,0,5.1,NNW,0.7
270,2015,1,0,0,2015/6/29,17:20,Sunny,138.8157111,37.62087778,0,0,Near_Intersection,Straight,0,0,V2V,Turning right,etc,Light passenger car,71,Vehicle,66,1,0,1,23.2,0,0,0,3.2,N,0.8
308,2016,1,0,0,2016/3/6,9:41,Sunny,138.9813417,37.86333889,0,0,Intersection,Straight,3m-5.5m,1,V2V,Turning right,Turn right,A passenger car,42,Motorcycle over 751cc,19,0,0,0,15.3,0,0,0,7.2,SE,0.9
316,2016,1,0,0,2016/5/29,14:17,Sunny,139.0059278,37.74365,0,0,Normal,Curve,0,0,V2V,Frontal collision,-1,Motorcycle 251-400cc,30,Light passenger car,57,0,0,0,26.8,0,0,0,3.4,N,0.9
334,2016,1,1,1,2016/7/10,15:48,Cloudy,138.7498778,37.50800556,1,0,Normal,Straight,0,0,V2V,Frontal collision,-1,Light passenger car,21,Light truck,57,1,0,0,26.5,0,0,0,4.3,NNW,0.9
5,2013,1,0,0,2013/8/12,12:48,Sunny,139.0013444,37.85541667,0,0,Intersection,Straight,5.5m-13m,0,V2V,Encounter,-1,A passenger car,55,Medium truck,47,0,0,0,31.4,0,0,0,2.9,W,1
8,2013,1,0,0,2013/6/23,16:39,Cloudy,139.4872556,38.23559722,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Scooter 50cc or less,87,A passenger car,28,1,0,0,24.5,0,0,0,2.4,WNW,1
23,2013,1,0,2,2013/9/14,12:13,Sunny,139.177375,37.9232,0,0,Intersection,Straight,5.5m-13m,0,V2V,Encounter,-1,A passenger car,39,Motorcycle over 751cc,33,0,0,0,32.2,0,0,0,1.6,NE,1
35,2013,1,0,0,2013/9/28,14:48,Sunny,138.9046528,37.67200833,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Light truck,87,Motorcycle over 751cc,52,1,0,0,25.2,0,0,0,6.1,ESE,1
40,2013,1,1,4,2013/5/17,17:00,Sunny,138.99545,37.62858611,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Light passenger car,19,Light passenger car,19,0,0,0,16.3,0,0,0,2.7,N,1
46,2013,1,0,0,2013/8/13,15:45,Sunny,138.9558472,37.51784444,0,0,Near_Intersection,Straight,0,0,V2V,Overtaking,-1,Light passenger car,51,Scooter 50cc or less,41,0,0,0,30.6,0,0,0,3.5,NNW,1
48,2013,1,0,0,2013/5/10,12:04,Cloudy,138.8937361,37.50360556,0,0,Near_Intersection,Curve,0,0,V2V,Frontal collision,-1,Light passenger car,23,A large passenger car,45,0,0,0,23.4,0,0,0,2.1,N,1
65,2013,1,0,0,2013/5/5,12:00,Sunny,138.9661972,37.17683611,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Scooter 50cc or less,76,Light passenger car,54,1,0,0,18.1,0,0,0,1.8,NNE,1
75,2013,1,0,0,2013/7/31,13:37,Cloudy,138.599,37.348075,0,0,Near_Intersection,Straight,0,0,V2V,Turning right,Turn right,A passenger car,54,Motorcycle 251-400cc,37,0,0,0,28.4,0,0,0,2.6,NW,1
78,2013,1,0,0,2013/8/17,14:23,Sunny,138.2187917,36.98996944,1,0,Normal,Straight,0,0,V2V,Frontal collision,-1,Light passenger car,83,Light Scooter 126-251cc,56,1,0,0,30.3,0,0,0,2.6,NNE,1
88,2013,1,2,0,2013/9/24,15:11,Sunny,138.4183306,38.00785833,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Light passenger car,70,Light passenger car,60,1,0,0,26.4,0,0,0,1.8,WNW,1
104,2013,1,2,2,2013/8/13,13:23,Sunny,139.3556556,38.01874444,0,1,Normal,Straight,0,0,V2V,Frontal collision,-1,A passenger car,65,Medium truck,61,1,0,0,30.2,0,0,0,2.5,W,1
111,2014,1,0,0,2014/7/5,10:47,Sunny,139.0678139,37.92041111,0,0,Intersection,Straight,19.5m-,1,V2V,Turning right,Turn right,A passenger car,80,Scooter 51-125cc,33,1,0,0,28.6,0,0,0,5.6,SE,1
123,2014,2,0,0,2014/7/21,15:22,Sunny,139.5508111,38.54385556,1,0,Normal,Curve,0,0,V2V,Frontal collision,-1,A passenger car,31,A heavy-duty truck,41,0,0,0,28.3,0,0,0,2.8,WNW,1
138,2014,1,0,0,2014/5/30,10:43,Sunny,139.1765194,37.73468333,0,0,Normal,Straight,0,0,V2V,At the time of passing each other,-1,Vehicle,83,A heavy-duty truck,62,1,0,1,27.7,0,0,0,0.6,SSE,1
143,2014,2,2,0,2014/7/20,18:20,Sunny,138.9773361,37.79672222,0,0,Intersection,Straight,5.5m-13m,0,V2V,Encounter,-1,A passenger car,71,A passenger car,49,1,0,0,26.2,0,0,0,1.6,NE,1
152,2014,1,0,0,2014/5/28,16:00,Sunny,138.9473611,37.64910833,1,0,Normal,Straight,0,0,V2V,Frontal collision,-1,A passenger car,38,Light truck,69,1,0,0,29.6,0,0,0,3.8,NNW,1
176,2014,1,0,0,2014/4/2,13:32,Sunny,138.8051139,36.94675,1,0,Intersection,Straight,0,0,V2V,Encounter,-1,A passenger car,73,Light truck,86,1,0,0,15.2,0,0,59,4.3,SE,1
187,2014,1,0,2,2014/9/22,14:54,Sunny,138.4912056,37.34923333,1,0,Near_Intersection,Straight,0,1,V2V,Rear-end collision,etc,Light passenger car,57,A passenger car,54,0,0,0,22.4,0,0,0,3,NNW,1
193,2014,1,1,1,2014/3/4,10:55,Sunny,137.8836139,36.96217778,0,0,Normal,Curve,0,0,V2V,Frontal collision,-1,Light passenger car,58,A passenger car,58,0,0,0,5.1,0,0,13,1.8,WNW,1
207,2014,1,1,2,2014/8/19,11:33,Sunny,138.8759722,37.26381667,0,1,Normal,Straight,0,0,V2V,Rear-end collision,etc,A passenger car,55,Truck,33,1,0,0,32,0,0,0,3.7,NW,1
210,2015,1,0,0,2015/5/23,16:35,Sunny,139.0598194,37.89611667,0,0,Intersection,Straight,3m-5.5m,0,V2V,Encounter,-1,A passenger car,31,Scooter 51-125cc,44,0,0,0,23.8,0,0,0,3.5,WSW,1
212,2015,1,0,0,2015/7/15,16:12,Sunny,139.0650667,37.92570556,1,0,Intersection,Straight,19.5m-,1,V2V,Turning left,-1,A heavy-duty truck,57,Vehicle,17,0,0,1,28.4,0,0,0,3.7,N,1
222,2015,1,0,0,2015/10/16,15:30,Sunny,139.3097778,37.94536944,0,0,Intersection,Straight,0,1,V2V,Encounter,-1,Scooter 50cc or less,59,Light truck,52,0,0,0,20.3,0,0,0,3.3,N,1
239,2015,1,0,1,2015/6/17,8:22,Sunny,139.0588417,37.74450556,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,A passenger car,67,A passenger car,31,1,0,0,22.2,0,0,0,3.3,ESE,1
241,2015,1,0,0,2015/4/9,13:47,Sunny,138.8155028,37.77851667,1,0,Normal,Straight,0,0,V2V,Encounter,-1,Light passenger car,73,A heavy-duty truck,39,1,0,0,9.7,0,0,0,4.9,N,1
247,2015,1,0,0,2015/7/22,7:56,Sunny,139.0544333,37.68687778,1,0,Intersection,Straight,0,1,V2V,Turning right,Turn right,A heavy-duty truck,32,Light passenger car,55,0,0,0,28.2,0,0,0,1.7,SSE,1
273,2015,1,1,0,2015/6/10,11:50,Sunny,139.0323306,37.33463611,1,0,Normal,Straight,0,0,V2V,Rear-end collision,etc,Light truck,83,A passenger car,82,1,0,0,23.6,0,0,0,1.8,SSW,1
278,2015,1,0,0,2015/5/27,8:20,Sunny,138.9150167,37.12901667,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Scooter 50cc or less,81,A passenger car,88,1,0,0,17.1,0,0,0,1.2,SW,1
294,2015,1,0,1,2015/8/6,12:43,Sunny,138.3611222,37.25278056,1,0,Normal,Straight,0,0,V2V,Frontal collision,-1,Light truck,79,Light passenger car,46,1,0,0,33.4,0,0,0,1.9,NNE,1
322,2016,1,0,0,2016/7/24,10:35,Sunny,138.918925,37.62727222,1,0,Normal,Straight,0,0,V2V,Encounter,-1,Light truck,79,A passenger car,21,1,0,0,29.8,0,0,0,1.6,ESE,1
327,2016,1,0,0,2016/6/15,9:34,Sunny,138.8684278,37.45313611,0,0,Near_Intersection,Straight,0,0,V2V,etc,-1,A passenger car,83,Vehicle,84,1,0,1,25.9,0,0,0,1.8,ENE,1
346,2016,1,0,0,2016/8/21,13:28,Sunny,138.6405361,36.99588611,0,0,Normal,Curve,0,0,V2V,Frontal collision,-1,Motorcycle over 751cc,47,A heavy-duty truck,27,0,0,0,30.3,0,0,0,1.4,ESE,1
353,2016,1,0,0,2016/6/22,8:35,Sunny,138.2968417,38.13944722,0,0,Normal,Straight,0,0,V2V,Rear-end collision,Ongoing,A passenger car,82,Small-sized special motor vehicles for Farming,79,1,0,0,22.2,0,0,0,4,NW,1
