No,Year,Dead,Seriously Injured,Injured,Date,Time,Weather,Longitude,Latitude,National Road,Highway,Road Type,Road Shape,Road Width,Signal,Kinds of Traffic Accident,Detail_1,Detail_2,A_Type,A_Age,B_Type,B_Age,Elderly Person,Walker,Bicycle,Temperature,Amount of Precipitation[mm],Amount of Snow[cm],Snowfall[cm],Wind Velocity[mps],Wind Direction[mps],Sunshine Duration
65,2013,1,0,0,2013/5/5,12:00,Sunny,138.9661972,37.17683611,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Scooter 50cc or less,76,Light passenger car,54,1,0,0,18.1,0,0,0,1.8,NNE,1
67,2013,1,0,0,2013/10/12,13:17,Cloudy,138.8977556,37.109925,1,0,Intersection,Straight,0,1,V2V,Turning right,Turn right,A passenger car,67,Scooter 50cc or less,16,1,0,0,17.6,0,0,0,1.7,W,0
71,2013,1,0,0,2013/9/26,19:10,Cloudy,138.7521944,37.13431389,0,0,Intersection,Straight,0,0,H2V,During cross,etc,Light passenger car,41,Pedestrian,74,1,1,0,13,0,0,0,1.6,WSW,-1
73,2013,1,0,0,2013/10/22,17:20,Cloudy,138.7632167,37.15871111,0,0,Intersection,Straight,0,0,V2V,Rear-end collision,Ongoing,A passenger car,55,Vehicle,60,0,0,1,16.3,0,0,0,0.5,W,0
74,2013,1,0,0,2013/6/6,10:00,Sunny,138.5884139,37.38575833,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Scooter 50cc or less,77,Medium truck,55,1,0,0,22.7,0,0,0,2.4,NNW,0.6
80,2013,1,0,0,2013/11/8,10:30,Cloudy,137.8942806,37.05140278,1,0,Intersection,Straight,0,1,H2V,During cross,A pedestrian crossing,Light passenger car,66,Pedestrian,85,1,1,0,15.5,0,0,0,5.1,WNW,0.1
86,2013,1,0,0,2013/6/27,17:30,Sunny,138.4200944,38.02851944,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Scooter 50cc or less,51,A passenger car,24,0,0,0,23.1,0,0,0,6.7,NNW,0.5
88,2013,1,2,0,2013/9/24,15:11,Sunny,138.4183306,38.00785833,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Light passenger car,70,Light passenger car,60,1,0,0,26.4,0,0,0,1.8,WNW,1
91,2013,1,0,0,2013/6/2,11:00,Sunny,138.2274972,37.14960278,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,A passenger car,51,Vehicle,80,1,0,1,25.3,0,0,0,2.7,NE,0
92,2013,1,0,0,2013/6/8,10:28,Sunny,138.234075,37.16874167,0,0,Intersection,Straight,0,0,H2V,During cross,A pedestrian crossing,Light passenger car,54,Pedestrian,69,1,1,0,21.7,0,0,0,1.6,NNW,0.3
107,2014,1,0,0,2014/4/10,22:46,Sunny,139.0495056,37.92560278,1,0,Intersection,Straight,3m-5.5m,1,H2V,On the street,-1,A passenger car,45,Pedestrian,71,1,1,0,7.1,0,0,0,2.8,W,0
111,2014,1,0,0,2014/7/5,10:47,Sunny,139.0678139,37.92041111,0,0,Intersection,Straight,19.5m-,1,V2V,Turning right,Turn right,A passenger car,80,Scooter 51-125cc,33,1,0,0,28.6,0,0,0,5.6,SE,1
112,2014,1,0,0,2014/9/10,10:20,Sunny,139.0506278,37.91094444,0,0,Intersection,Straight,5.5m-13m,0,H2V,During cross,etc,Truck,35,Pedestrian,89,1,1,0,25.4,0,0,0,2.2,S,0.9
113,2014,1,0,0,2014/11/9,14:20,Cloudy,139.0715917,37.93966667,0,0,Intersection,Straight,5.5m-13m,1,H2V,During cross,A pedestrian crossing,A passenger car,66,Pedestrian,73,1,1,0,15.7,0,0,0,3.3,SSE,0
115,2014,1,0,0,2014/2/3,7:00,Cloudy,138.9376028,37.85676944,0,0,Intersection,Straight,5.5m-13m,1,V2V,Turning left,-1,A heavy-duty truck,49,Vehicle,63,0,0,1,8.3,0,0,0,1.3,S,0
116,2014,1,0,0,2014/5/5,0:00,Cloudy,138.9804389,37.86647222,0,0,Intersection,Straight,5.5m-13m,0,V,Outside the road,Falling,Vehicle,67,None,-1,1,0,1,15.3,0,0,0,1.9,SSE,0
119,2014,1,0,0,2014/1/18,0:30,Cloudy,139.4833444,38.22716944,0,0,Intersection,Straight,0,0,H2V,On the street,-1,Light passenger car,23,Pedestrian,56,0,1,0,-1.6,0,0,40,0.6,NNW,-1
124,2014,1,0,0,2014/10/24,17:58,Sunny,139.4513694,38.11756389,1,0,Intersection,Straight,0,0,H2V,During cross,Near the pedestrian overpass,Truck,47,Pedestrian,62,0,1,0,12.2,0,0,0,1.4,ESE,-1
125,2014,1,0,0,2014/10/31,6:50,Sunny,139.4246556,38.12259722,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Light truck,68,A passenger car,43,1,0,0,6.2,0,0,0,1.1,NW,0.3
127,2014,1,0,0,2014/3/26,13:55,Cloudy,139.3680583,38.02195,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Light truck,80,Light passenger car,77,1,0,0,14.7,0,0,0,3,SE,0
128,2014,1,0,0,2014/6/10,19:35,Sunny,139.3146583,38.02459167,0,0,Intersection,Straight,0,1,V2V,Encounter,-1,A passenger car,42,Scooter 50cc or less,45,0,0,0,25.2,0,0,0,4.9,ESE,0
130,2014,1,1,0,2014/8/28,20:25,Sunny,139.2857361,37.95715278,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,A passenger car,19,Motorcycle over 751cc,20,0,0,0,20.8,0,0,0,2.6,SSW,-1
134,2014,1,0,0,2014/10/30,14:35,Sunny,139.2189472,37.9137,0,0,Intersection,Straight,5.5m-13m,0,H2V,During cross,etc,A passenger car,59,Pedestrian,92,1,1,0,18,0,0,0,2.7,N,1
135,2014,1,0,0,2014/1/5,17:25,Cloudy,139.23835,37.76750278,1,0,Intersection,Straight,5.5m-13m,0,H2V,During cross,A pedestrian crossing,Light passenger car,40,Pedestrian,75,1,1,0,0.8,0,0,0,2.4,SSW,0
142,2014,1,0,0,2014/4/19,9:00,Sunny,138.8948694,37.76377778,0,0,Intersection,Straight,5.5m-13m,1,H2V,During cross,A pedestrian crossing,Pedestrian,66,Light passenger car,28,1,1,0,10.4,0,0,0,3.1,NNW,1
143,2014,2,2,0,2014/7/20,18:20,Sunny,138.9773361,37.79672222,0,0,Intersection,Straight,5.5m-13m,0,V2V,Encounter,-1,A passenger car,71,A passenger car,49,1,0,0,26.2,0,0,0,1.6,NE,1
144,2014,1,0,0,2014/9/29,20:10,Cloudy,138.9672528,37.70417778,0,0,Intersection,Straight,0,0,V2V,Turning right,Turn right,A passenger car,61,Light Scooter 126-251cc,20,0,0,0,17.7,0,0,0,1.5,SSE,-1
145,2014,1,0,0,2014/3/5,12:01,Rain,138.8503056,37.62603889,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Vehicle,63,Light passenger car,28,0,0,1,4.2,0.5,0,0,2,S,0
147,2014,1,0,0,2014/10/28,17:26,Rain,138.8521639,37.62516667,1,0,Intersection,Straight,0,0,V2V,Encounter,-1,Scooter 50cc or less,75,A heavy-duty truck,39,1,0,0,12.4,0,0,0,5.1,W,0
149,2014,1,0,0,2014/12/21,17:52,Snow,138.9462722,37.66545,0,0,Intersection,Straight,0,0,H2V,During cross,Near the pedestrian crossing,Light passenger car,86,Pedestrian,83,1,1,0,-0.1,1.5,0,0,1.4,NNW,-1
150,2014,1,0,0,2014/5/12,8:35,Sunny,139.0485417,37.66335556,1,0,Intersection,Straight,0,1,H2V,During cross,A pedestrian crossing,Light truck,81,Pedestrian,80,1,1,0,21.8,0,0,0,5.4,ESE,1
154,2014,1,0,0,2014/8/23,9:20,Sunny,138.9774222,37.63231944,1,0,Intersection,Straight,0,0,H2V,During cross,etc,A passenger car,75,Pedestrian,81,1,1,0,25.3,0,0,0,3.6,S,0.7
157,2014,1,0,2,2014/11/13,10:00,Rain,138.8913056,37.54146944,0,0,Intersection,Straight,0,1,V2V,Encounter,-1,Light truck,76,Light passenger car,42,1,0,0,8.1,3.5,0,0,4.7,WSW,0
164,2014,1,0,2,2014/11/30,14:30,Sunny,138.8572306,37.48005833,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Light passenger car,50,A passenger car,38,1,0,0,16.1,0,0,0,2.1,ENE,0.6
167,2014,1,0,0,2014/4/7,8:35,Sunny,138.7517972,37.59934722,0,0,Intersection,Straight,0,0,V,Outside the road,Falling,Scooter 50cc or less,78,None,-1,1,0,0,9.1,0,0,0,5.8,WSW,0.5
170,2014,1,0,0,2014/12/1,16:30,Rain,138.795875,37.31471667,0,0,Intersection,Straight,0,0,H2V,During cross,A pedestrian crossing,Light passenger car,82,Pedestrian,67,1,1,0,13.7,1.5,0,0,1.8,WSW,0
176,2014,1,0,0,2014/4/2,13:32,Sunny,138.8051139,36.94675,1,0,Intersection,Straight,0,0,V2V,Encounter,-1,A passenger car,73,Light truck,86,1,0,0,15.2,0,0,59,4.3,SE,1
188,2014,1,0,0,2014/12/20,18:18,Rain,138.5455444,37.35795833,1,0,Intersection,Straight,0,1,H2V,During cross,etc,Pedestrian,50,A passenger car,29,0,1,0,2.4,0.5,0,15,0.8,SE,-1
192,2014,1,0,0,2014/1/21,2:45,Rain,137.8114917,37.02567222,0,0,Intersection,Straight,0,1,H2V,During cross,A pedestrian crossing,A passenger car,59,Pedestrian,81,1,1,0,0.3,2,0,48,1.7,SE,-1
200,2014,1,0,0,2014/10/22,16:05,Rain,138.33345,37.12553333,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Scooter 50cc or less,76,Truck,21,1,0,0,0,0,0,0,0,0,-1
210,2015,1,0,0,2015/5/23,16:35,Sunny,139.0598194,37.89611667,0,0,Intersection,Straight,3m-5.5m,0,V2V,Encounter,-1,A passenger car,31,Scooter 51-125cc,44,0,0,0,23.8,0,0,0,3.5,WSW,1
211,2015,1,0,0,2015/7/13,19:31,Sunny,139.1268889,37.93436389,0,0,Intersection,Straight,19.5m-,1,V2V,Turning right,Turn right,Light passenger car,37,Light Scooter 126-251cc,48,0,0,0,31.9,0,0,0,0.8,E,0
212,2015,1,0,0,2015/7/15,16:12,Sunny,139.0650667,37.92570556,1,0,Intersection,Straight,19.5m-,1,V2V,Turning left,-1,A heavy-duty truck,57,Vehicle,17,0,0,1,28.4,0,0,0,3.7,N,1
220,2015,1,0,0,2015/3/25,14:10,Cloudy,139.3138083,37.98302778,0,0,Intersection,Straight,0,0,V,Manufactured articles,Protection fence etc.,Light truck,73,Property etc.,-1,1,0,0,6.5,0,0,0,5.5,NW,0.6
222,2015,1,0,0,2015/10/16,15:30,Sunny,139.3097778,37.94536944,0,0,Intersection,Straight,0,1,V2V,Encounter,-1,Scooter 50cc or less,59,Light truck,52,0,0,0,20.3,0,0,0,3.3,N,1
223,2015,1,0,0,2015/4/10,10:43,Sunny,139.2169333,37.919975,0,0,Intersection,Straight,3m-5.5m,1,V2V,Turning right,etc,A passenger car,84,Vehicle,72,1,0,1,13.9,0,0,0,4.6,ESE,0
228,2015,1,0,0,2015/6/24,16:55,Sunny,139.1726028,37.83836944,1,0,Intersection,Straight,3m-5.5m,0,H2V,During cross,etc,Light passenger car,26,Pedestrian,83,1,1,0,22.8,0,0,0,4.2,NNE,1
232,2015,1,0,0,2015/12/20,17:15,Sunny,139.2358333,37.77131667,0,0,Intersection,Straight,3m-5.5m,1,H2V,During cross,Near the pedestrian crossing,Pedestrian,84,A passenger car,48,1,1,0,6.2,0,0,0,1.9,NE,0.1
235,2015,1,1,0,2015/4/12,23:20,Cloudy,139.1773972,37.70895278,0,0,Intersection,Straight,0,1,V2V,Encounter,-1,A heavy-duty truck,50,Light passenger car,65,1,0,0,6.1,0,0,0,0.8,ESE,-1
236,2015,1,1,1,2015/12/6,16:47,Sunny,139.2306444,37.73403889,1,0,Intersection,Straight,0,0,V2V,Encounter,-1,A passenger car,86,A heavy-duty truck,40,1,0,0,5.5,0,0,0,1.1,SSW,0
239,2015,1,0,1,2015/6/17,8:22,Sunny,139.0588417,37.74450556,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,A passenger car,67,A passenger car,31,1,0,0,22.2,0,0,0,3.3,ESE,1
245,2015,1,0,0,2015/6/17,18:50,Sunny,138.941875,37.69049167,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Vehicle,80,A passenger car,25,1,0,1,23,0,0,0,2,NNW,0
246,2015,1,0,0,2015/11/28,10:00,Cloudy,138.9280611,37.66838333,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Vehicle,79,A passenger car,35,1,0,1,8.4,0,0,0,3.1,WNW,0
247,2015,1,0,0,2015/7/22,7:56,Sunny,139.0544333,37.68687778,1,0,Intersection,Straight,0,1,V2V,Turning right,Turn right,A heavy-duty truck,32,Light passenger car,55,0,0,0,28.2,0,0,0,1.7,SSE,1
248,2015,1,0,0,2015/8/12,8:18,Cloudy,139.0673194,37.70166389,1,0,Intersection,Straight,0,1,V2V,Encounter,-1,Vehicle,73,Medium truck,55,1,0,1,25.3,0,0,0,1.5,SW,0
251,2015,1,0,1,2015/12/22,13:45,Sunny,139.0519028,37.65976111,0,0,Intersection,Straight,0,1,V2V,Encounter,-1,Light truck,26,Light passenger car,64,0,0,0,10.2,0,0,0,5.1,NNW,0.7
252,2015,1,0,0,2015/2/28,14:30,Cloudy,138.9598944,37.59771111,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Scooter 51-125cc,81,Light passenger car,34,1,0,0,4.7,0,0,11,2.4,SW,0
253,2015,1,0,0,2015/6/28,14:30,Rain,138.9772111,37.63608056,0,0,Intersection,Straight,0,1,V2V,Encounter,-1,Scooter 50cc or less,84,A passenger car,20,1,0,0,18.4,2.5,0,0,8.2,WSW,0
255,2015,1,0,0,2015/7/15,9:15,Sunny,138.9698639,37.63083611,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Vehicle,80,A passenger car,48,1,0,1,26.7,0,0,0,1.2,S,0.1
256,2015,2,0,0,2015/1/27,17:37,Rain,138.8929333,37.541225,0,0,Intersection,Straight,0,0,H2V,During cross,etc,Light passenger car,26,Pedestrian,84,1,1,0,3.1,0,0,58,2,WSW,-1
261,2015,1,0,0,2015/2/16,17:22,Cloudy,138.7430194,37.44469167,1,0,Intersection,Straight,0,1,H2V,During cross,A pedestrian crossing,A passenger car,23,Pedestrian,66,1,1,0,4.8,0,0,57,1.1,NW,0.2
262,2015,1,0,0,2015/3/4,18:23,Rain,138.7759917,37.45310556,0,0,Intersection,Straight,0,0,H2V,During cross,etc,A passenger car,41,Pedestrian,79,1,1,0,5.3,0,0,0,9.6,W,0
263,2015,1,0,0,2015/8/10,19:59,Sunny,138.8399389,37.42603889,0,0,Intersection,Straight,0,0,H2V,During cross,etc,Pedestrian,54,A passenger car,47,0,1,0,28.3,0,0,0,1.4,WSW,-1
267,2015,1,0,0,2015/11/30,15:42,Cloudy,138.7564611,37.38365,0,0,Intersection,Straight,0,0,H2V,During cross,etc,Light truck,85,Pedestrian,80,1,1,0,14.4,0,0,0,1.5,SSW,0.7
268,2015,1,0,0,2015/12/6,17:23,Cloudy,138.8235528,37.46853056,0,0,Intersection,Straight,0,0,H2V,During cross,Near the pedestrian crossing,Light passenger car,44,Pedestrian,81,1,1,0,7,0,0,0,1.1,WNW,0
278,2015,1,0,0,2015/5/27,8:20,Sunny,138.9150167,37.12901667,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Scooter 50cc or less,81,A passenger car,88,1,0,0,17.1,0,0,0,1.2,SW,1
282,2015,1,0,0,2015/5/18,14:53,Cloudy,138.7637694,37.15496389,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Scooter 51-125cc,58,Light passenger car,73,1,0,0,24.2,0,0,0,5.4,SE,0
285,2015,1,0,0,2015/10/7,16:18,Sunny,138.5473861,37.36542778,0,0,Intersection,Curve,0,0,H2V,During cross,etc,Light passenger car,75,Pedestrian,84,1,1,0,18.4,0,0,0,3.6,N,0.5
290,2015,1,0,0,2015/10/27,17:26,Cloudy,138.4317972,38.024025,0,0,Intersection,Straight,0,0,H2V,During cross,etc,Light truck,80,Pedestrian,75,1,1,0,20.1,0,0,0,4.6,ESE,0
295,2015,1,0,0,2015/10/21,18:08,Cloudy,138.3597528,37.07139167,0,0,Intersection,Straight,0,0,H2V,During cross,etc,Light truck,53,Pedestrian,90,1,1,0,13.2,0,0,0,0.8,SE,0
303,2016,1,0,0,2016/7/27,9:45,Cloudy,139.0158361,37.91676944,0,0,Intersection,Straight,5.5m-13m,0,V2V,Turning right,etc,A passenger car,80,Vehicle,82,1,0,1,25.8,0,0,0,4.4,SSE,0.4
304,2016,1,0,0,2016/1/23,1:17,Sunny,139.0694972,37.91841111,1,0,Intersection,Straight,3m-5.5m,1,H2V,On the street,-1,Pedestrian,52,A passenger car,57,0,1,0,1.7,0,0,5,3.7,W,0
307,2016,1,0,0,2016/9/3,19:05,Sunny,139.0494722,37.91203611,0,0,Intersection,Straight,3m-5.5m,0,H2V,During cross,etc,Light Scooter 126-251cc,21,Pedestrian,81,1,1,0,28.5,0,0,0,1.5,NE,0
308,2016,1,0,0,2016/3/6,9:41,Sunny,138.9813417,37.86333889,0,0,Intersection,Straight,3m-5.5m,1,V2V,Turning right,Turn right,A passenger car,42,Motorcycle over 751cc,19,0,0,0,15.3,0,0,0,7.2,SE,0.9
309,2016,1,0,0,2016/7/16,10:38,Cloudy,139.5369583,38.13119167,1,0,Intersection,Straight,0,0,V2V,Overtaking,-1,Motorcycle over 751cc,35,Truck,50,0,0,0,25.8,0,0,0,1.7,SSE,0
314,2016,1,0,0,2016/5/2,19:00,Cloudy,138.9768028,37.73755556,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Light passenger car,30,Other light vehicles,82,1,0,0,18.4,0,0,0,2.7,SE,0
315,2016,1,1,0,2016/5/17,6:43,Rain,139.0377722,37.71265556,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Scooter 50cc or less,79,Light passenger car,39,1,0,0,12.6,1,0,0,1.1,WNW,0
320,2016,1,0,1,2016/9/18,15:29,Rain,138.9486083,37.72661389,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Light truck,80,Light passenger car,34,1,0,0,20.6,0.5,0,0,2.6,N,0
323,2016,1,0,0,2016/8/25,10:09,Sunny,139.0944861,37.54403333,1,0,Intersection,Straight,0,0,H2V,Working on the street,-1,Truck,20,Pedestrian,61,0,1,0,29,0,0,0,0.9,S,1
330,2016,1,0,0,2016/7/10,9:50,Sunny,138.8254361,37.51376944,0,0,Intersection,Straight,0,0,V2V,Encounter,-1,Scooter 51-125cc,84,Light passenger car,21,1,0,0,26.6,0,0,0,2.2,SW,0.6
331,2016,1,0,0,2016/9/13,0:00,Rain,138.8966972,37.48438889,0,0,Intersection,Straight,0,0,V,Outside the road,Falling,A passenger car,72,None,-1,1,0,0,21.6,0.5,0,0,2.1,N,-1
335,2016,1,1,2,2016/7/18,15:30,Sunny,138.78105,37.59369722,1,0,Intersection,Straight,0,0,V2V,Encounter,-1,Light passenger car,79,Motorcycle over 751cc,37,1,0,0,25.5,0,0,0,3.3,NNW,0.1
339,2016,1,0,0,2016/6/17,19:35,Cloudy,138.9675056,37.23374444,1,0,Intersection,Straight,0,1,H2V,During cross,A pedestrian crossing,Light truck,44,Pedestrian,54,0,1,0,22.9,0,0,0,0.8,SW,0
341,2016,1,0,0,2016/3/30,20:20,Cloudy,138.8709611,37.06305278,0,0,Intersection,Straight,0,1,H2V,During cross,A pedestrian crossing,A passenger car,37,Pedestrian,80,1,1,0,9.6,3,0,0,3.9,NNW,-1
343,2016,1,0,0,2016/5/12,16:05,Sunny,138.7610333,37.14623333,0,0,Intersection,Straight,0,0,H2V,During cross,A pedestrian crossing,Light truck,29,Pedestrian,92,1,1,0,19,0,0,0,1.9,NNE,0.8
4,2013,1,0,1,2013/7/15,11:28,Cloudy,138.9580833,37.85803611,0,0,Near_Intersection,Straight,3m-5.5m,0,V2V,etc,-1,A passenger car,71,Truck,61,1,1,0,23.7,0,0,0,4.6,NW,0.1
14,2013,1,0,0,2013/1/31,19:51,Sunny,139.3231389,37.94517778,0,0,Near_Intersection,Straight,0,1,H2V,During cross,Near the pedestrian crossing,Pedestrian,71,A passenger car,53,1,1,0,-2.4,0,0,81,0.3,NW,-1
18,2013,1,0,0,2013/10/25,17:56,Rain,139.2676667,37.8898,1,0,Near_Intersection,Straight,0,0,V2V,Rear-end collision,Ongoing,Light passenger car,25,Vehicle,72,1,0,1,16.9,2,0,0,3.5,SW,-1
20,2013,1,0,0,2013/12/21,23:15,Rain,139.3138861,37.96381389,0,0,Near_Intersection,Straight,0,1,H2V,On the street,-1,-1,-1,Pedestrian,73,1,1,0,0.2,2.5,0,0,0.4,ENE,-1
22,2013,1,0,0,2013/5/20,21:30,Cloudy,139.1809611,37.94706389,0,0,Near_Intersection,Straight,19.5m-,0,H2V,During cross,etc,Truck,47,Pedestrian,81,1,1,0,17.9,0,0,0,2.3,WSW,0
39,2013,1,0,0,2013/3/19,2:50,Cloudy,138.9697556,37.63562778,1,0,Near_Intersection,Curve,0,1,V,Manufactured articles,etc,A passenger car,36,Property etc.,-1,0,0,0,9.8,0.5,0,0,4.8,SW,-1
41,2013,1,0,0,2013/5/25,20:45,Sunny,138.9908917,37.64218333,1,0,Near_Intersection,Straight,0,0,H2V,During cross,Near the pedestrian crossing,Light passenger car,34,Pedestrian,66,1,1,0,19.2,0,0,0,3.1,SE,-1
44,2013,1,0,0,2013/11/6,5:08,Sunny,138.9342111,37.61609444,1,0,Near_Intersection,Straight,0,0,H2V,On the back,-1,A heavy-duty truck,57,Pedestrian,80,1,1,0,6.3,0,0,0,1.9,SW,-1
46,2013,1,0,0,2013/8/13,15:45,Sunny,138.9558472,37.51784444,0,0,Near_Intersection,Straight,0,0,V2V,Overtaking,-1,Light passenger car,51,Scooter 50cc or less,41,0,0,0,30.6,0,0,0,3.5,NNW,1
48,2013,1,0,0,2013/5/10,12:04,Cloudy,138.8937361,37.50360556,0,0,Near_Intersection,Curve,0,0,V2V,Frontal collision,-1,Light passenger car,23,A large passenger car,45,0,0,0,23.4,0,0,0,2.1,N,1
66,2013,1,0,0,2013/5/18,20:14,Cloudy,138.9619222,37.15227778,0,0,Near_Intersection,Straight,0,0,H2V,During cross,etc,Light passenger car,22,Pedestrian,58,0,1,0,18.9,0,0,0,1.1,W,-1
